K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K21308|soeB;_sulfite_dehydrogenase_(quinone)_subunit_SoeB
K16640|ssh7;_DNA-binding_protein_7_[EC:3.1.27.-]
K25504|cedA;_DNA_import_protein_CedA
K16936|doxA;_thiosulfate_dehydrogenase_(quinone)_small_subunit_[EC:1.8.5.2]
K21307|soeA;_sulfite_dehydrogenase_(quinone)_subunit_SoeA_[EC:1.8.5.6]
K17219|sreA;_sulfur_reductase_molybdopterin_subunit
K21268|gdS-2;_hexaprenyl_diphosphate_synthase_[EC:2.5.1.82]
K17220|sreB;_sulfur_reductase_FeS_subunit
K07241|hoxN,_nixA;_nickel/cobalt_transporter_(NiCoT)_family_protein
K15863|nuoLM;_NADH-quinone_oxidoreductase_subunit_L/M_[EC:7.1.1.2]
K16934|doxC;_terminal_oxidase_subunit
K16933|doxB;_heme_bearing_subunit_I_of_the_terminal_oxidase
K00884|NAGK,_nagK;_N-acetylglucosamine_kinase_[EC:2.7.1.59]
K24689|lipS2;_lipoyl_synthase
K10674|ectD;_ectoine_hydroxylase_[EC:1.14.11.55]
K15019|K15019;_3-hydroxypropionyl-coenzyme_A_dehydratase_[EC:4.2.1.116]
K10806|yciA;_acyl-CoA_thioesterase_YciA_[EC:3.1.2.-]
K18431|legF,_ptmB;_CMP-N,N'-diacetyllegionaminic_acid_synthase_[EC:2.7.7.82]
K00122|FDH;_formate_dehydrogenase_[EC:1.17.1.9]
K19294|algI;_alginate_O-acetyltransferase_complex_protein_AlgI
K14952|namH;_UDP-MurNAc_hydroxylase
K23359|biuH;_biuret_amidohydrolase_[EC:3.5.1.84]
K23424|TMTC;_protein_O-mannosyl-transferase_[EC:2.4.1.-]
K05947|E2.4.1.217;_mannosyl-3-phosphoglycerate_synthase_[EC:2.4.1.217]
K08717|utp;_urea_transporter
K05991|E3.2.1.123;_endoglycosylceramidase_[EC:3.2.1.123]
K01569|oxdD;_oxalate_decarboxylase_[EC:4.1.1.2]
K05558|K05558;_pyridoxamine_5'-phosphate_oxidase_family_protein
K01795|algG;_mannuronan_5-epimerase_[EC:5.1.3.37]
K18988|ampH;_serine-type_D-Ala-D-Ala_carboxypeptidase/endopeptidase_[EC:3.4.16.4_3.4.21.-]
K01456|E3.5.1.52,_NGLY1,_PNG1;_peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine_amidase_[EC:3.5.1.52]
K04782|pchB;_isochorismate_pyruvate_lyase_[EC:4.2.99.21]
K07223|yfeX;_porphyrinogen_peroxidase_[EC:1.11.1.-]
K03626|EGD2,_NACA;_nascent_polypeptide-associated_complex_subunit_alpha
K00156|poxB;_pyruvate_dehydrogenase_(quinone)_[EC:1.2.5.1]
K18586|COQ4;_ubiquinone_biosynthesis_protein_COQ4
K06075|slyA;_MarR_family_transcriptional_regulator,_transcriptional_regulator_for_hemolysin
K01971|ligD;_bifunctional_non-homologous_end_joining_protein_LigD_[EC:6.5.1.1]
K12957|ahr;_alcohol/geraniol_dehydrogenase_(NADP+)_[EC:1.1.1.2_1.1.1.183]
K22479|argA;_N-acetyltransferase
K13020|wlbA,_bplA;_UDP-N-acetyl-2-amino-2-deoxyglucuronate_dehydrogenase_[EC:1.1.1.335]
K03088|rpoE;_RNA_polymerase_sigma-70_factor,_ECF_subfamily
K13292|lgt,_umpA;_phosphatidylglycerol---prolipoprotein_diacylglyceryl_transferase_[EC:2.5.1.145]
K11392|rsmF;_16S_rRNA_(cytosine1407-C5)-methyltransferase_[EC:2.1.1.178]
K22745|AIFM2;_apoptosis-inducing_factor_2
K07082|mltG;_peptidoglycan_lytic_transglycosylase_G_[EC:4.2.2.29]
K14136|K14136;_decaprenyl-phosphate_phosphoribosyltransferase_[EC:2.4.2.45]
K16267|zipB;_zinc_and_cadmium_transporter
K19055|prdX,_proX;_Ala-tRNA(Pro)_deacylase_[EC:3.1.1.-]
K08310|nudB,_ntpA;_dihydroneopterin_triphosphate_diphosphatase_[EC:3.6.1.67]
K01013|TSTD1;_thiosulfate:glutathione_sulfurtransferase_[EC:2.8.1.-]
K02336|polB;_DNA_polymerase_II_[EC:2.7.7.7]
K03101|lspA;_signal_peptidase_II_[EC:3.4.23.36]
K11418|HDAC11;_histone_deacetylase_11_[EC:3.5.1.98]
K18554|cpt;_chloramphenicol_3-O_phosphotransferase_[EC:2.7.1.-]
K03573|mutH;_DNA_mismatch_repair_protein_MutH
K11312|K11312;_cupin_2_domain-containing_protein
K01768|E4.6.1.1;_adenylate_cyclase_[EC:4.6.1.1]
K04562|flhG,_fleN;_flagellar_biosynthesis_protein_FlhG
K08984|yjdF;_putative_membrane_protein
K00259|ald;_alanine_dehydrogenase_[EC:1.4.1.1]
K12454|rfbE;_CDP-paratose_2-epimerase_[EC:5.1.3.10]
K01448|amiABC;_N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
K00729|ALG5;_dolichyl-phosphate_beta-glucosyltransferase_[EC:2.4.1.117]
K26959|brxC;_monothiol_bacilliredoxin
K07319|yhdJ;_adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K05357|VKORC1;_vitamin-K-epoxide_reductase_(warfarin-sensitive)_[EC:1.17.4.4]
K07816|E2.7.6.5;_GTP_pyrophosphokinase_[EC:2.7.6.5]
K01447|xlyAB;_N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
K03471|rnhC;_ribonuclease_HIII_[EC:3.1.26.4]
K21401|menJ;_menaquinone-9_beta-reductase_[EC:1.3.99.38]
K00995|pgsA,_PGS1;_CDP-diacylglycerol---glycerol-3-phosphate_3-phosphatidyltransferase_[EC:2.7.8.5]
K13668|pimB;_phosphatidyl-myo-inositol_dimannoside_synthase_[EC:2.4.1.346]
K07501|K07501;_3'-5'_exonuclease
K19166|higB;_mRNA_interferase_HigB_[EC:3.1.-.-]
K07733|alpA;_prophage_regulatory_protein
K00574|cfa;_cyclopropane-fatty-acyl-phospholipid_synthase_[EC:2.1.1.79]
K17247|msrQ;_methionine_sulfoxide_reductase_heme-binding_subunit
K18430|legI,_neuB2;_N,N'-diacetyllegionaminate_synthase_[EC:2.5.1.101]
K03769|ppiC;_peptidyl-prolyl_cis-trans_isomerase_C_[EC:5.2.1.8]
K07533|prsA;_foldase_protein_PrsA_[EC:5.2.1.8]
K18896|gsmt;_glycine/sarcosine_N-methyltransferase_[EC:2.1.1.156]
K18429|legG,_neuC2;_GDP/UDP-N,N'-diacetylbacillosamine_2-epimerase_(hydrolysing)_[EC:3.2.1.184]
K13657|gumH,_aceA;_alpha-1,3-mannosyltransferase_[EC:2.4.1.252]
K07273|acm;_lysozyme
K00500|phhA,_PAH;_phenylalanine-4-hydroxylase_[EC:1.14.16.1]
K09988|lyxA;_D-lyxose_ketol-isomerase_[EC:5.3.1.15]
K00326|CYB5R;_cytochrome-b5_reductase_[EC:1.6.2.2]
K08151|tetA;_MFS_transporter,_DHA1_family,_tetracycline_resistance_protein
K11601|mntC;_manganese_transport_system_substrate-binding_protein
K11603|mntA;_manganese_transport_system_ATP-binding_protein_[EC:7.2.2.5]
K01621|xfp,_xpk;_xylulose-5-phosphate/fructose-6-phosphate_phosphoketolase_[EC:4.1.2.9_4.1.2.22]
K03778|ldhA;_D-lactate_dehydrogenase_[EC:1.1.1.28]
K22907|ppgS;_polyprenyl-phospho-N-acetylgalactosaminyl_synthase
K11602|mntB;_manganese_transport_system_permease_protein
K03928|yvaK;_carboxylesterase_[EC:3.1.1.1]
K08776|NPEPPS;_puromycin-sensitive_aminopeptidase_[EC:3.4.11.14]
K18581|ugl;_unsaturated_chondroitin_disaccharide_hydrolase_[EC:3.2.1.180]
K16704|rffC,_wecD;_dTDP-4-amino-4,6-dideoxy-D-galactose_acyltransferase_[EC:2.3.1.210]
K12661|LRA3,_rhmD;_L-rhamnonate_dehydratase_[EC:4.2.1.90]
K19590|araDH;_D-arabinose_1-dehydrogenase_(NADP+)_[EC:1.1.1.427]
K22178|fqoK;_F420H2:quinone_oxidoreductase_subunit_K_[EC:1.1.98.4]
K07219|K07219;_putative_molybdopterin_biosynthesis_protein
K22181|fqoN;_F420H2:quinone_oxidoreductase_subunit_N_[EC:1.1.98.4]
K22173|fqoD;_F420H2:quinone_oxidoreductase_subunit_D_[EC:1.1.98.4]
K10199|glcV,_araV;_glucose/arabinose_transport_system_ATP-binding_protein
K22179|fqoL;_F420H2:quinone_oxidoreductase_subunit_L_[EC:1.1.98.4]
K22176|fqoI;_F420H2:quinone_oxidoreductase_subunit_I_[EC:1.1.98.4]
K22180|fqoM;_F420H2:quinone_oxidoreductase_subunit_M_[EC:1.1.98.4]
K22171|fqoA;_F420H2:quinone_oxidoreductase_subunit_A_[EC:1.1.98.4]
K22175|fqoH;_F420H2:quinone_oxidoreductase_subunit_H_[EC:1.1.98.4]
K16846|suyB;_(2R)-sulfolactate_sulfo-lyase_subunit_beta_[EC:4.4.1.24]
K16845|suyA;_(2R)-sulfolactate_sulfo-lyase_subunit_alpha_[EC:4.4.1.24]
K01462|PDF,_def;_peptide_deformylase_[EC:3.5.1.88]
K11041|eta;_exfoliative_toxin_A/B
K05350|bglB;_beta-glucosidase_[EC:3.2.1.21]
K13776|atuH;_citronellyl-CoA_synthetase_[EC:6.2.1.-]
K18897|sdmt;_sarcosine/dimethylglycine_N-methyltransferase_[EC:2.1.1.157]
K19092|parE1_3_4;_toxin_ParE1/3/4
K00459|ncd2,_npd;_nitronate_monooxygenase_[EC:1.13.12.16]
K01258|pepT;_tripeptide_aminopeptidase_[EC:3.4.11.4]
K05774|phnN;_ribose_1,5-bisphosphokinase_[EC:2.7.4.23]
K09481|SEC61B,_SBH2;_protein_transport_protein_SEC61_subunit_beta
K18979|queG;_epoxyqueuosine_reductase_[EC:1.17.99.6]
K04019|eutA;_ethanolamine_utilization_protein_EutA
K08591|plsY;_acyl_phosphate:glycerol-3-phosphate_acyltransferase_[EC:2.3.1.275]
K24105|mglA;_mutual_gliding-motility_protein_MglA
K00016|LDH,_ldh;_L-lactate_dehydrogenase_[EC:1.1.1.27]
K08152|lmrP;_MFS_transporter,_DHA1_family,_multidrug_resistance_protein_B
K03833|selB,_EEFSEC;_selenocysteine-specific_elongation_factor
K19306|BUD23;_18S_rRNA_(guanine1575-N7)-methyltransferase_[EC:2.1.1.309]
K20866|yihX;_glucose-1-phosphatase_[EC:3.1.3.10]
K08162|mdtH;_MFS_transporter,_DHA1_family,_multidrug_resistance_protein
K01008|selD,_SEPHS;_selenide,_water_dikinase_[EC:2.7.9.3]
K01192|E3.2.1.25,_MANBA,_manB;_beta-mannosidase_[EC:3.2.1.25]
K03929|pnbA;_para-nitrobenzyl_esterase_[EC:3.1.1.-]
K06198|coiA;_competence_protein_CoiA
K12188|SNF8,_EAP30;_ESCRT-II_complex_subunit_VPS22
K23775|ohrR;_MarR_family_transcriptional_regulator,_organic_hydroperoxide_resistance_regulator
K00219|fadH;_2,4-dienoyl-CoA_reductase_(NADPH2)_[EC:1.3.1.34]
K23948|E1.6.5.9;_NADH:quinone_reductase_(non-electrogenic)_[EC:1.6.5.9]
K01813|rhaA;_L-rhamnose_isomerase_[EC:5.3.1.14]
K00010|iolG;_myo-inositol_2-dehydrogenase_/_D-chiro-inositol_1-dehydrogenase_[EC:1.1.1.18_1.1.1.369]
K02564|nagB,_GNPDA;_glucosamine-6-phosphate_deaminase_[EC:3.5.99.6]
K14358|SCRN;_secernin
K01563|dhaA;_haloalkane_dehalogenase_[EC:3.8.1.5]
K12189|VPS25,_EAP20;_ESCRT-II_complex_subunit_VPS25
K10419|DYNLRB,_DNCL2;_dynein_light_chain_roadblock-type
K12196|VPS4;_vacuolar_protein-sorting-associated_protein_4
K00527|rtpR;_ribonucleoside-triphosphate_reductase_(thioredoxin)_[EC:1.17.4.2]
K04940|odh;_opine_dehydrogenase_[EC:1.5.1.28]
K22136|bshC;_bacillithiol_synthase
K03341|SEPSECS;_O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA_synthase_[EC:2.9.1.2]
K01138|K01138;_uncharacterized_sulfatase_[EC:3.1.6.-]
K19170|dndC;_DNA_sulfur_modification_protein_DndC
K00127|fdoI,_fdsG;_formate_dehydrogenase_subunit_gamma
K04066|priA;_primosomal_protein_N'_(replication_factor_Y)_(superfamily_II_helicase)_[EC:5.6.2.4]
K21084|yegE;_diguanylate_cyclase_[EC:2.7.7.65]
K02844|waaG,_rfaG;_UDP-glucose:(heptosyl)LPS_alpha-1,3-glucosyltransferase_[EC:2.4.1.-]
K03553|recA;_recombination_protein_RecA
K00158|spxB,_poxL;_pyruvate_oxidase_[EC:1.2.3.3]
K22757|QCT,_qpcT;_glutaminyl-peptide_cyclotransferase_[EC:2.3.2.5]
K26113|lctD;_lactate_dehydrogenase_(NAD+,ferredoxin)_subunit_LctD_[EC:1.1.1.436]
K07091|lptF;_lipopolysaccharide_export_system_permease_protein
K11720|lptG;_lipopolysaccharide_export_system_permease_protein
K12132|prkC,_stkP;_eukaryotic-like_serine/threonine-protein_kinase_[EC:2.7.11.1]
K01356|lexA;_repressor_LexA_[EC:3.4.21.88]
K24217|mnaT;_L-amino_acid_N-acyltransferase_[EC:2.3.1.-]
K16150|K16150;_glycogen_synthase_[EC:2.4.1.11]
K02878|RP-L16,_MRPL16,_rplP;_large_subunit_ribosomal_protein_L16
K00752|hasA;_hyaluronan_synthase_[EC:2.4.1.212]
K09181|yfiQ;_acetyltransferase
K17725|ETHE1;_sulfur_dioxygenase_[EC:1.13.11.18]
K22074|NFU1,_HIRIP5;_NFU1_iron-sulfur_cluster_scaffold_homolog,_mitochondrial
K01744|aspA;_aspartate_ammonia-lyase_[EC:4.3.1.1]
K18890|mdlB,_smdB;_ATP-binding_cassette,_subfamily_B,_multidrug_efflux_pump
K20509|madB,_oadB,_gcdB,_mmdB;_carboxybiotin_decarboxylase_[EC:7.2.4.1]
K14090|echE;_ech_hydrogenase_subunit_E
K01501|E3.5.5.1;_nitrilase_[EC:3.5.5.1]
K16203|dppA1;_D-amino_peptidase_[EC:3.4.11.-]
K00076|hdhA;_7-alpha-hydroxysteroid_dehydrogenase_[EC:1.1.1.159]
K18009|budC;_meso-butanediol_dehydrogenase_/_(S,S)-butanediol_dehydrogenase_/_diacetyl_reductase_[EC:1.1.1.-_1.1.1.76_1.1.1.304]
K01021|TPST;_protein-tyrosine_sulfotransferase_[EC:2.8.2.20]
K14591|aroM;_protein_AroM
K17724|IRG1;_aconitate_decarboxylase_[EC:4.1.1.6]
K18258|CRYM;_thiomorpholine-carboxylate_dehydrogenase_[EC:1.5.1.25]
K16925|ykoE;_energy-coupling_factor_transport_system_permease_protein
K23351|gcdC,_mmdC;_glutaconyl-CoA/methylmalonyl-CoA_decarboxylase_subunit_gamma
K01266|dmpA,_dap;_D-aminopeptidase_[EC:3.4.11.19]
K14673|whiEII;_putative_monooxygenase
K18889|mdlA,_smdA;_ATP-binding_cassette,_subfamily_B,_multidrug_efflux_pump
K13479|ygeT,_xdhB;_xanthine_dehydrogenase_FAD-binding_subunit_[EC:1.17.1.4]
K11206|NIT1,_ybeM;_deaminated_glutathione_amidase_[EC:3.5.1.128]
K21014|stf0;_trehalose_2-sulfotransferase_[EC:2.8.2.37]
K03317|TC.CNT;_concentrative_nucleoside_transporter,_CNT_family
K03798|ftsH,_hflB;_cell_division_protease_FtsH_[EC:3.4.24.-]
K03429|ugtP;_processive_1,2-diacylglycerol_beta-glucosyltransferase_[EC:2.4.1.315]
K19620|phcB;_extracellular_factor_(EF)_3-hydroxypalmitic_acid_methyl_ester_biosynthesis_protein
K03803|rseC;_sigma-E_factor_negative_regulatory_protein_RseC
K03625|nusB;_transcription_antitermination_protein_NusB
K00760|hprT,_hpt,_HPRT1;_hypoxanthine_phosphoribosyltransferase_[EC:2.4.2.8]
K14597|cruC;_chlorobactene_glucosyltransferase
K21572|susD;_starch-binding_outer_membrane_protein,_SusD/RagB_family
K20742|ykfC;_gamma-D-glutamyl-L-lysine_dipeptidyl-peptidase_[EC:3.4.14.13]
K14598|cruD;_chlorobactene_lauroyltransferase
K07037|pgpH;_cyclic-di-AMP_phosphodiesterase_PgpH_[EC:3.1.4.-]
K03070|secA;_preprotein_translocase_subunit_SecA_[EC:7.4.2.8]
K21573|susC;_TonB-dependent_starch-binding_outer_membrane_protein_SusC
K02968|RP-S20,_rpsT;_small_subunit_ribosomal_protein_S20
K06925|tsaE;_tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaE
K03466|ftsK,_spoIIIE;_DNA_segregation_ATPase_FtsK/SpoIIIE,_S-DNA-T_family
K06217|phoH,_phoL;_phosphate_starvation-inducible_protein_PhoH_and_related_proteins
K14742|tsaB;_tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaB
K02340|holA;_DNA_polymerase_III_subunit_delta_[EC:2.7.7.7]
K00791|miaA,_TRIT1;_tRNA_dimethylallyltransferase_[EC:2.5.1.75]
K19715|kdnA;_8-amino-3,8-dideoxy-alpha-D-manno-octulosonate_transaminase_[EC:2.6.1.109]
K25316|racX,_ygeA;_amino-acid_racemase_[EC:5.1.1.10]
K03111|ssb;_single-strand_DNA-binding_protein
K14088|echC;_ech_hydrogenase_subunit_C
K14091|echF;_ech_hydrogenase_subunit_F
K01729|algL;_poly(beta-D-mannuronate)_lyase_[EC:4.2.2.3]
K25520|E3.6.1.76;_prenyl-diphosphate_phosphatase_[EC:3.6.1.76]
K14089|echD;_ech_hydrogenase_subunit_D
K14086|echA;_ech_hydrogenase_subunit_A
K14087|echB;_ech_hydrogenase_subunit_B
K18833|cmr;_MFS_transporter,_DHA3_family,_multidrug_efflux_protein
K19613|SHOC2,_SUR8;_leucine-rich_repeat_protein_SHOC2
K07576|K07576;_metallo-beta-lactamase_family_protein
K02482|flgS;_two-component_system,_NtrC_family,_sensor_kinase_[EC:2.7.13.3]
K05606|MCEE,_epi;_methylmalonyl-CoA/ethylmalonyl-CoA_epimerase_[EC:5.1.99.1]
K18828|mvpA,_vapC;_tRNA(fMet)-specific_endonuclease_VapC_[EC:3.1.-.-]
K02198|ccmF;_cytochrome_c-type_biogenesis_protein_CcmF
K07237|tusB,_dsrH;_tRNA_2-thiouridine_synthesizing_protein_B
K01159|ruvC;_crossover_junction_endodeoxyribonuclease_RuvC_[EC:3.1.21.10]
K13274|wprA;_cell_wall-associated_protease_[EC:3.4.21.-]
K08481|kaiB;_circadian_clock_protein_KaiB
K13587|cckA;_two-component_system,_cell_cycle_sensor_histidine_kinase_and_response_regulator_CckA_[EC:2.7.13.3]
K16694|tuaB;_teichuronic_acid_exporter
K09765|queH;_epoxyqueuosine_reductase_[EC:1.17.99.6]
K09874|NIP;_aquaporin_NIP
K20274|zmpB;_zinc_metalloprotease_ZmpB
K02200|ccmH;_cytochrome_c-type_biogenesis_protein_CcmH
K03673|dsbA;_protein_dithiol_oxidoreductase_(disulfide-forming)_[EC:1.8.4.15]
K05518|rsbX;_phosphoserine_phosphatase_RsbX_[EC:3.1.3.3]
K06324|cotA;_spore_coat_protein_A,_manganese_oxidase_[EC:1.16.3.3]
K07168|K07168;_CBS_domain-containing_membrane_protein
K08995|K08995;_putative_membrane_protein
K17762|rsbS;_rsbT_antagonist_protein_RsbS
K01358|clpP,_CLPP;_ATP-dependent_Clp_protease,_protease_subunit_[EC:3.4.21.92]
K26252|dtxR,_ideR;_DtxR_family_transcriptional_regulator,_iron-dependent_repressor
K03551|ruvB;_holliday_junction_DNA_helicase_RuvB_[EC:5.6.2.4]
K01761|E4.4.1.11;_methionine-gamma-lyase_[EC:4.4.1.11]
K22704|hpnR;_hopanoid_C-3_methylase_[EC:2.1.1.-]
K17763|rsbR;_rsbT_co-antagonist_protein_RsbR
K03550|ruvA;_holliday_junction_DNA_helicase_RuvA
K17752|rsbT;_serine/threonine-protein_kinase_RsbT_[EC:2.7.11.1]
K03581|recD;_exodeoxyribonuclease_V_alpha_subunit_[EC:3.1.11.5]
K13658|gumI;_beta-1,4-mannosyltransferase_[EC:2.4.1.251]
K17995|hydG;_sulfhydrogenase_subunit_gamma_(sulfur_reductase)_[EC:1.12.98.4]
K20881|yrfG;_GMP/IMP_5'-nucleotidase_[EC:3.1.3.-]
K17994|hydD;_sulfhydrogenase_subunit_delta_[EC:1.12.1.3_1.12.1.5]
K17996|hydB;_sulfhydrogenase_subunit_beta_(sulfur_reductase)_[EC:1.12.98.4]
K03013|RPABC1,_RPB5,_POLR2E;_DNA-directed_RNA_polymerases_I,_II,_and_III_subunit_RPABC1
K00590|E2.1.1.113;_site-specific_DNA-methyltransferase_(cytosine-N4-specific)_[EC:2.1.1.113]
K17993|hydA;_sulfhydrogenase_subunit_alpha_[EC:1.12.1.3_1.12.1.5]
K01176|AMY,_amyA,_malS;_alpha-amylase_[EC:3.2.1.1]
K15524|mngB;_2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate_hydrolase_[EC:3.2.1.-]
K19222|menI,_DHNAT;_1,4-dihydroxy-2-naphthoyl-CoA_hydrolase_[EC:3.1.2.28]
K17238|inoF;_inositol-phosphate_transport_system_permease_protein
K05396|dcyD;_D-cysteine_desulfhydrase_[EC:4.4.1.15]
K17950|cuyA;_L-cysteate_sulfo-lyase_[EC:4.4.1.25]
K10670|grdA;_glycine/sarcosine/betaine_reductase_complex_component_A_[EC:1.21.4.2_1.21.4.3_1.21.4.4]
K10672|grdB;_glycine_reductase_complex_component_B_subunit_gamma_[EC:1.21.4.2]
K06947|GRC3,_NOL9;_polynucleotide_5'-hydroxyl-kinase_GRC3/NOL9_[EC:2.7.1.-]
K21577|grdC;_glycine/sarcosine/betaine_reductase_complex_component_C_subunit_beta_[EC:1.21.4.2_1.21.4.3_1.21.4.4]
K15520|mshD;_mycothiol_synthase_[EC:2.3.1.189]
K17240|inoK;_inositol-phosphate_transport_system_ATP-binding_protein
K17237|inoE;_inositol-phosphate_transport_system_substrate-binding_protein
K22232|iolN;_3-dehydro-scyllo-inosose_hydrolase_[EC:3.7.1.-]
K09008|NDUFAF3;_NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_assembly_factor_3
K21672|ord;_2,4-diaminopentanoate_dehydrogenase_[EC:1.4.1.12_1.4.1.26]
K15538|MANEA;_glycoprotein_endo-alpha-1,2-mannosidase_[EC:3.2.1.130]
K22231|iolM;_scyllo-inosose_3-dehydrogenase_[EC:1.1.1.-]
K22233|iolO;_5-keto-L-gluconate_epimerase_[EC:5.1.-.-]
K10714|mtdB;_methylene-tetrahydromethanopterin_dehydrogenase_[EC:1.5.1.-]
K17239|inoG;_inositol-phosphate_transport_system_permease_protein
K02823|pyrDII;_dihydroorotate_dehydrogenase_electron_transfer_subunit
K12953|ctpF;_cation-transporting_P-type_ATPase_F_[EC:7.2.2.-]
K25133|hmuU,_phuU,_bhuU,_hemU;_heme_transport_system_permease_protein
K07228|khtT;_K+:H+_antiporter_subunit_KhtT
K22684|MCA1;_metacaspase-1_[EC:3.4.22.-]
K02358|tuf,_TUFM;_elongation_factor_Tu
K03296|TC.HAE1;_hydrophobic/amphiphilic_exporter-1_(mainly_G-_bacteria),_HAE1_family
K01908|ACSS3,_prpE;_propionyl-CoA_synthetase_[EC:6.2.1.17]
K00947|mosAB;_molybdenum_storage_protein
K09667|OGT;_protein_O-GlcNAc_transferase_[EC:2.4.1.255]
K04770|lonH;_Lon-like_ATP-dependent_protease_[EC:3.4.21.-]
K13688|chvB,_cgs,_ndvB;_cyclic_beta-1,2-glucan_synthetase_[EC:2.4.1.-]
K03387|ahpF;_NADH-dependent_peroxiredoxin_subunit_F_[EC:1.8.1.-]
K13831|hps-phi;_3-hexulose-6-phosphate_synthase_/_6-phospho-3-hexuloisomerase_[EC:4.1.2.43_5.3.1.27]
K13678|cpoA;_1,2-diacylglycerol-3-alpha-glucose_alpha-1,2-galactosyltransferase_[EC:2.4.1.-]
K04068|nrdG;_anaerobic_ribonucleoside-triphosphate_reductase_activating_protein_[EC:1.97.1.4]
K15899|pseF;_pseudaminic_acid_cytidylyltransferase_[EC:2.7.7.81]
K03324|yjbB;_phosphate:Na+_symporter
K03294|TC.APA;_basic_amino_acid/polyamine_antiporter,_APA_family
K21210|ncsC;_NDP-mannose_synthase
K11904|vgrG;_type_VI_secretion_system_secreted_protein_VgrG
K22044|ybiO;_moderate_conductance_mechanosensitive_channel
K02356|efp;_elongation_factor_P
K06076|fadL;_long-chain_fatty_acid_transport_protein
K02385|flbD;_flagellar_protein_FlbD
K02556|motA;_chemotaxis_protein_MotA
K02459|gspJ;_general_secretion_pathway_protein_J
K02838|frr,_MRRF,_RRF;_ribosome_recycling_factor
K14059|int;_integrase
K06142|hlpA,_ompH;_outer_membrane_protein
K03217|yidC,_spoIIIJ,_OXA1,_ccfA;_YidC/Oxa1_family_membrane_protein_insertase
K03040|rpoA;_DNA-directed_RNA_polymerase_subunit_alpha_[EC:2.7.7.6]
K21395|yiaO;_TRAP-type_transport_system_periplasmic_protein
K03643|lptE,_rlpB;_LPS-assembly_lipoprotein
K02913|RP-L33,_MRPL33,_rpmG;_large_subunit_ribosomal_protein_L33
K06207|typA,_bipA;_GTP-binding_protein
K06861|lptB;_lipopolysaccharide_export_system_ATP-binding_protein_[EC:7.5.2.5]
K11050|cylA;_multidrug/hemolysin_transport_system_ATP-binding_protein
K11051|cylB;_multidrug/hemolysin_transport_system_permease_protein
K16954|mtsA;_methylthiol:coenzyme_M_methyltransferase_[EC:2.1.1.251]
K03556|malT;_LuxR_family_transcriptional_regulator,_maltose_regulon_positive_regulatory_protein
K03584|recO;_DNA_repair_protein_RecO_(recombination_protein_O)
K00663|aacA;_aminoglycoside_6'-N-acetyltransferase_[EC:2.3.1.82]
K02407|fliD;_flagellar_hook-associated_protein_2
K25232|fakB;_fatty_acid_kinase_fatty_acid_binding_subunit
K02417|fliN;_flagellar_motor_switch_protein_FliN
K00806|uppS;_undecaprenyl_diphosphate_synthase_[EC:2.5.1.31]
K11778|DHDDS,_RER2,_SRT1;_ditrans,polycis-polyprenyl_diphosphate_synthase_[EC:2.5.1.87]
K01155|E3.1.21.4;_type_II_restriction_enzyme_[EC:3.1.21.4]
K06178|rluB;_23S_rRNA_pseudouridine2605_synthase_[EC:5.4.99.22]
K01160|rusA;_crossover_junction_endodeoxyribonuclease_RusA_[EC:3.1.21.10]
K21159|sgcF,_ncsF2,_kedF;_epoxide_hydrolase
K04083|hslO;_molecular_chaperone_Hsp33
K03932|lpqC;_polyhydroxybutyrate_depolymerase
K15976|K15976;_putative_NAD(P)H_nitroreductase_[EC:1.-.-.-]
K07322|ytfE,_scdA;_regulator_of_cell_morphogenesis_and_NO_signaling
K07010|K07010;_putative_glutamine_amidotransferase
K07160|pxpA;_5-oxoprolinase_(ATP-hydrolysing)_subunit_A_[EC:3.5.2.9]
K21057|E2.7.1.213;_cytidine_kinase_[EC:2.7.1.213]
K01208|cd,_ma,_nplT;_cyclomaltodextrinase_/_maltogenic_alpha-amylase_/_neopullulanase_[EC:3.2.1.54_3.2.1.133_3.2.1.135]
K07057|bpsA;_N4-bis(aminopropyl)spermidine_synthase_[EC:2.5.1.128]
K23352|gcdD,_mmdD;_glutaconyl-CoA/methylmalonyl-CoA_decarboxylase_subunit_delta
K21416|acoA;_acetoin:2,6-dichlorophenolindophenol_oxidoreductase_subunit_alpha_[EC:1.1.1.-]
K00557|trmA;_tRNA_(uracil-5-)-methyltransferase_[EC:2.1.1.35]
K06351|kipI;_inhibitor_of_KinA
K23121|pflD;_trans-4-hydroxy-L-proline_dehydratase_[EC:4.2.1.172]
K00530|nroR;_rubredoxin---NAD(P)+_reductase_[EC:1.18.1.4]
K15772|ganQ,_mdxG;_arabinogalactan_oligomer_/_maltooligosaccharide_transport_system_permease_protein
K06350|kipA;_antagonist_of_KipI
