knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K13671	284.23	full	all	0.822296	1291	1177	4102	460	11.10	0.590	alpha-1,2-mannosyltransferase [EC:2.4.1.-]
K13672	353.37	full	all	1.000000	18	18	754	505	1.22	0.589	galactofuranosyltransferase [EC:2.4.1.-]
K13673	1496.20	full	all	1.000000	16	16	858	814	0.56	0.593	phosphoglycan beta-1,3-galactosyltransferase [EC:2.4.1.-]
K13674	1294.33	full	all	1.000000	8	8	1034	845	0.64	0.590	phosphoglycan alpha-1,2-arabinopyranosyltransferase [EC:2.4.2.-]
K13675	181.30	domain	all	0.998563	707	697	3757	547	2.33	0.590	UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]
K13676	155.43	domain	all	0.994723	1194	1138	2672	428	3.35	0.590	UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase [EC:2.4.2.42]
K13677	363.77	full	all	0.991773	385	307	652	338	2.25	0.590	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]
K13678	246.03	full	all	0.993939	333	248	522	341	2.03	0.590	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]
K13679	652.50	full	all	0.996454	297	285	1202	613	0.87	0.588	granule-bound starch synthase [EC:2.4.1.242]
K13680	641.77	full	all	0.985641	1085	1024	2233	593	1.44	0.589	beta-mannan synthase [EC:2.4.1.32]
K13681	113.63	full	all	0.999468	996	943	3711	1153	3.77	0.590	xyloglucan fucosyltransferase [EC:2.4.1.-]
K13682	250.03	full	all	1.000000	147	147	2092	700	3.60	0.590	beta-1,2-mannosyltransferase [EC:2.4.1.-]
K13683	183.47	domain	all	0.979949	307	201	447	257	2.67	0.590	putative colanic acid biosynthesis glycosyltransferase WcaE [EC:2.4.-.-]
K13684	268.97	full	all	0.992519	292	202	671	402	2.68	0.590	putative colanic acid biosynthesis glycosyltransferase WcaC [EC:2.4.-.-]
K13686	202.03	full	all	1.000000	442	377	1813	682	2.68	0.590	galactan 5-O-arabinofuranosyltransferase [EC:2.4.2.46]
K13687	163.63	full	all	1.000000	485	424	2330	698	6.38	0.590	arabinofuranosyltransferase [EC:2.4.2.-]
K13688	1899.23	full	all	0.986596	895	830	6918	2844	2.40	0.590	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]
K13689	346.87	full	all	0.944444	57	51	452	328	0.89	0.589	beta-1,4-N-acetylgalactosaminyltransferase [EC:2.4.1.-]
K13690	189.37	full	trim	0.992982	147	143	1828	451	3.53	0.590	alpha-1,3-mannosyltransferase [EC:2.4.1.-]
K13691	675.97	full	trim	0.748092	941	901	1979	730	2.71	0.590	pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
K13692	562.07	domain	all	0.844470	309	294	897	469	1.50	0.591	UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase [EC:2.4.1.121]
K13693	127.73	domain	all	0.992943	1439	1281	2407	549	7.28	0.590	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]
K13694	193.53	domain	trim	0.533920	1324	939	1141	329	7.55	0.590	murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
K13695	194.97	domain	all	0.494324	1427	999	886	217	6.86	0.590	probable lipoprotein NlpC
K13696	351.90	full	all	1.000000	936	874	2902	596	3.04	0.590	abhydrolase domain-containing protein 1/3
K13697	318.30	full	all	0.999201	721	627	1385	508	1.86	0.591	abhydrolase domain-containing protein 2
K13698	561.23	domain	all	0.910065	498	440	1288	438	1.22	0.590	abhydrolase domain-containing protein 4
K13699	568.90	full	all	0.949481	509	480	1613	419	1.12	0.589	abhydrolase domain-containing protein 5 [EC:2.3.1.51]
K13700	175.57	full	all	0.998168	595	546	1377	424	2.65	0.590	abhydrolase domain-containing protein 6 [EC:3.1.1.23]
K13701	280.03	full	all	0.978571	589	548	2208	524	2.59	0.590	abhydrolase domain-containing protein 8
K13702	327.23	full	all	0.980589	478	447	1122	417	2.05	0.590	abhydrolase domain-containing protein 10 [EC:3.1.1.93]
K13703	322.73	full	all	0.949772	599	570	1951	437	3.17	0.590	abhydrolase domain-containing protein 11
K13704	449.27	full	all	0.810614	692	658	2640	458	2.99	0.590	abhydrolase domain-containing protein 12 [EC:3.1.1.23]
K13705	497.30	full	trim	0.936549	428	414	1571	442	1.73	0.590	abhydrolase domain-containing protein 12B [EC:3.-.-.-]
K13706	87.93	full	all	0.978828	842	787	2791	385	4.42	0.590	abhydrolase domain-containing protein 14
K13707	253.27	full	all	0.995378	549	541	2324	583	2.90	0.590	abhydrolase domain-containing protein 15
K13708	2845.53	full	all	0.699915	624	611	8087	1895	2.46	0.591	dedicator of cytokinesis protein 1
K13709	1831.13	full	all	0.971584	426	399	2871	1490	1.49	0.590	Rho GTPase-activating protein 5
K13710	1081.93	full	trim	0.804627	685	661	4479	838	3.04	0.590	Rho guanine nucleotide exchange factor 7
K13711	241.60	full	all	0.998203	1206	1108	5687	629	2.10	0.590	phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
K13712	322.47	domain	all	0.994911	411	397	2031	517	2.12	0.589	phosphatidylinositol-4-phosphate 5-kinase-like protein 1 [EC:2.7.1.68]
K13713	913.07	full	all	0.943237	55	37	1092	748	1.13	0.590	fusion protein PurCD [EC:6.3.2.6 6.3.4.13]
K13714	459.53	domain	trim	0.965076	122	77	2125	1364	1.24	0.589	bifunctional autolysin [EC:3.5.1.28 3.2.1.96]
K13715	654.97	full	all	0.948718	60	21	477	356	0.91	0.591	staphopain B [EC:3.4.22.-]
K13716	267.33	full	all	0.998594	371	358	1345	644	2.23	0.590	OTU domain-containing protein 1 [EC:3.4.19.12]
K13717	153.83	full	all	0.973660	704	677	3051	453	8.04	0.590	OTU domain-containing protein 3 [EC:3.4.19.12]
K13718	577.07	full	all	0.821076	507	499	5101	841	4.76	0.590	OTU domain-containing protein 4 [EC:3.4.19.12]
K13719	79.07	domain	all	0.996290	1013	941	2182	452	5.54	0.590	ubiquitin thioesterase OTU1 [EC:3.1.2.-]
K13720	365.70	full	all	0.970477	481	469	1195	438	2.59	0.590	N-(long-chain-acyl)ethanolamine deacylase [EC:3.5.1.60]
K13721	1022.47	domain	all	0.952955	203	201	3039	986	1.57	0.590	aminopeptidase 2 [EC:3.4.11.-]
K13722	904.63	domain	trim	0.882852	116	96	1065	806	1.62	0.590	tricorn protease interacting factor F2/3 [EC:3.4.11.-]
K13723	1425.40	domain	all	0.915709	296	296	1743	953	1.49	0.589	endoplasmic reticulum aminopeptidase 2 [EC:3.4.11.-]
K13724	1058.43	domain	all	0.959576	276	270	2407	1023	1.72	0.590	aminopeptidase Q [EC:3.4.11.-]
K13725	2009.07	full	all	1.000000	14	12	1138	1084	0.50	0.590	M1-family aminopeptidase [EC:3.4.11.-]
K13726	840.47	full	trim	0.704482	181	177	2010	817	2.97	0.590	metallopeptidase MepB [EC:3.4.24.-]
K13727	166.40	full	all	1.000000	531	352	294	174	0.97	0.590	phenolic acid decarboxylase [EC:4.1.1.-]
K13728	123.20	full	all	0.986270	878	663	1878	306	6.69	0.590	mitotic spindle assembly checkpoint protein MAD2B
K13729	798.67	full	all	1.000000	8	7	452	450	0.55	0.591	thiol-dependent reductase 1
K13730	189.27	domain	all	0.516158	800	685	12755	514	19.33	0.590	internalin A
K13731	428.73	full	all	0.829249	120	69	2806	810	3.41	0.590	internalin B
K13732	676.50	full	all	0.619199	99	68	2945	947	6.03	0.590	fibronectin-binding protein A
K13733	677.13	domain	trim	0.741349	66	39	1865	938	2.00	0.589	fibronectin-binding protein B
K13734	102.37	domain	all	0.960637	128	93	2430	614	7.13	0.590	fibronectin-binding protein 1
K13735	176.60	domain	all	0.891562	590	469	26042	1698	9.87	0.590	adhesin/invasin
K13736	1215.03	full	all	0.949132	409	402	2508	975	1.57	0.591	Rho GTPase-activating protein 10
K13737	714.97	domain	all	0.956076	181	156	1137	488	0.81	0.588	septin 1
K13738	652.50	full	all	0.984713	408	400	2911	863	2.01	0.590	CD2-associated protein
K13739	654.17	full	all	1.000000	52	23	360	333	0.47	0.593	secreted effector protein SopD
K13740	630.77	full	all	1.000000	48	23	546	535	0.56	0.588	secreted effector protein SptP
K13741	109.57	full	all	1.000000	128	48	700	332	2.08	0.590	guanine nucleotide exchange factor SopE
K13742	474.10	full	all	1.000000	6	5	208	208	0.42	0.595	protein IpgB1
K13743	434.70	full	all	1.000000	7	4	191	188	0.39	0.591	protein IpgB2
K13744	903.87	full	all	0.970395	391	382	3664	1079	2.11	0.590	Rho guanine nucleotide exchange factor 26
K13745	416.93	domain	all	0.861080	1498	1349	2207	589	4.65	0.590	L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]
K13746	766.60	full	all	0.992908	88	71	459	414	0.69	0.592	carboxynorspermidine synthase [EC:1.5.1.43]
K13747	313.47	full	all	0.998226	1589	1409	1907	642	2.35	0.590	carboxynorspermidine decarboxylase [EC:4.1.1.96]
K13748	454.43	domain	all	0.934608	991	930	2803	795	5.31	0.590	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]
K13749	1009.00	full	trim	0.974036	435	429	3034	800	1.06	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
K13750	921.77	full	all	0.863198	586	565	3526	690	1.66	0.591	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
K13751	981.17	full	all	0.876459	737	706	2920	858	2.19	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
K13752	762.17	domain	all	0.512006	824	791	2821	584	2.31	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4
K13753	694.73	full	all	0.821353	529	514	2213	615	3.34	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 5
K13754	241.23	domain	all	0.985909	1696	1653	8121	698	6.83	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
K13755	405.13	full	all	0.984855	1466	1397	6911	682	2.43	0.590	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]
K13756	1640.27	full	trim	0.941420	399	379	2170	855	0.74	0.591	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]
K13757	1479.43	domain	trim	0.970405	424	414	2132	853	0.62	0.589	cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]
K13758	74.33	full	all	0.998713	674	385	689	185	1.76	0.590	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta
K13759	182.30	full	all	0.843182	480	264	398	165	2.03	0.589	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
K13760	163.83	full	trim	0.682785	563	376	352	131	1.38	0.590	retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
K13761	396.47	full	all	0.981575	906	876	5810	723	2.89	0.590	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]
K13762	1217.67	full	all	0.900723	478	462	2854	977	1.71	0.590	cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]
K13763	1180.80	full	all	0.892882	239	235	3974	972	2.02	0.591	cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]
K13764	293.87	domain	all	0.990578	628	534	894	442	1.66	0.590	recoverin
K13765	764.30	full	all	0.979894	498	482	1621	672	1.16	0.591	regulator of G-protein signaling 9
K13766	275.27	domain	trim	0.946390	2103	1870	882	339	5.17	0.590	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13767	315.63	domain	all	0.930029	407	324	392	257	2.22	0.590	enoyl-CoA hydratase [EC:4.2.1.17]
K13768	74.27	full	all	0.985330	228	202	316	149	2.31	0.590	gastrin
K13769	159.57	full	all	0.924698	476	430	1354	265	6.19	0.590	insulin-like growth factor 2
K13770	134.87	domain	trim	0.925088	659	546	608	237	7.47	0.590	TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein
K13771	131.30	full	all	0.871236	3188	2475	842	231	8.43	0.590	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K13772	178.23	full	all	0.960921	268	185	239	152	1.82	0.590	Rrf2 family transcriptional regulator, iron-responsive regulator
K13773	123.33	full	all	1.000000	17	16	334	200	0.83	0.591	p53-regulated apoptosis-inducing protein 1
K13774	388.27	full	all	0.996683	365	302	475	289	0.89	0.590	citronellol/citronellal dehydrogenase
K13775	225.23	domain	all	0.993377	1205	1060	674	346	2.14	0.590	citronellol/citronellal dehydrogenase
K13776	732.97	domain	all	0.958328	225	195	711	613	1.30	0.590	citronellyl-CoA synthetase [EC:6.2.1.-]
K13777	905.30	full	trim	0.943195	420	389	1545	942	1.46	0.590	geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
K13778	800.00	full	all	0.997268	421	367	660	541	0.85	0.589	geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K13779	276.07	full	all	0.994350	311	262	401	272	1.46	0.591	isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13780	757.97	domain	all	0.713401	1138	1070	2228	567	2.17	0.589	solute carrier family 7 (L-type amino acid transporter), member 5
K13781	835.83	domain	trim	0.900315	638	606	1776	585	1.96	0.590	solute carrier family 7 (L-type amino acid transporter), member 8
K13782	940.20	full	all	0.926245	503	473	2481	637	1.13	0.590	solute carrier family 7 (D/L-type amino acid transporter), member 10
K13783	523.13	full	all	0.969614	1755	1691	4869	707	2.96	0.590	MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 1/2
K13784	43.77	full	all	0.991051	852	671	1285	218	4.81	0.590	prothymosin alpha
K13785	86.50	domain	trim	0.648305	322	164	134	79	2.67	0.716	thymosin beta 10
K13786	210.50	full	all	0.898562	256	194	313	171	1.67	0.590	cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]
K13787	296.43	domain	all	0.832264	3110	2812	3138	501	10.08	0.590	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13788	568.80	full	all	0.992505	3046	2487	1876	775	2.79	0.590	phosphate acetyltransferase [EC:2.3.1.8]
K13789	364.53	full	all	0.516036	4845	4252	3024	374	7.22	0.590	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13790	489.80	full	all	1.000000	48	25	704	506	1.11	0.590	virulence protein IcsB
K13791	1297.30	full	all	1.000000	6	6	555	545	0.41	0.594	invasion plasmid antigen
K13792	194.33	full	all	1.000000	18	11	209	190	0.82	0.591	secreted effector OspG
K13793	101.70	full	all	1.000000	28	11	106	92	0.85	0.620	secreted effector OspE
K13794	345.43	full	all	0.996491	390	286	377	308	1.29	0.591	LysR family transcriptional regulator, regulatory protein for tcuABC
K13795	314.37	full	all	0.987751	517	444	716	374	1.37	0.590	citrate/tricarballylate utilization protein
K13796	289.23	full	all	1.000000	748	663	1429	557	2.31	0.590	tricarballylate dehydrogenase
K13797	2929.10	full	all	0.974460	131	120	3441	2712	0.82	0.590	DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]
K13798	1502.00	full	all	0.987359	177	161	1543	1108	0.92	0.590	DNA-directed RNA polymerase subunit B [EC:2.7.7.6]
K13799	394.90	full	all	0.989761	158	149	1376	662	1.51	0.589	pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]
K13800	268.87	domain	all	0.933981	1546	1429	3005	729	6.40	0.590	UMP-CMP kinase [EC:2.7.4.14]
K13801	650.43	full	all	0.835806	494	475	1960	447	1.63	0.591	arrestin-C
K13802	620.10	domain	all	0.467954	88	80	556	371	0.94	0.592	opsin Rh1
K13803	1387.70	full	trim	0.941893	168	166	3116	1125	1.72	0.590	transient-receptor-potential-like protein
K13804	842.13	domain	trim	0.830364	50	49	1231	662	1.35	0.590	inactivation no afterpotential D protein
K13805	535.20	domain	all	0.945446	275	247	1216	398	1.18	0.589	arrestin-2
K13806	100.47	domain	all	0.998373	1264	1228	8721	1017	6.46	0.590	sn1-specific diacylglycerol lipase [EC:3.1.1.116]
K13807	458.23	domain	all	0.990866	1059	1044	6235	957	3.00	0.590	serine/threonine-protein phosphatase with EF-hands [EC:3.1.3.16]
K13808	541.47	domain	trim	0.899838	217	204	926	475	1.86	0.590	arrestin-1
K13809	113.47	full	all	1.000000	431	418	1848	506	3.59	0.590	UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]
K13810	642.23	full	trim	0.893915	269	194	1300	946	1.30	0.590	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K13811	442.93	full	all	0.993442	1616	1530	3993	772	2.16	0.590	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
K13812	352.77	full	all	0.967897	129	113	789	474	1.51	0.589	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
K13813	393.03	full	all	0.875783	565	505	1247	354	3.11	0.590	syntaxin 12/13
K13814	218.33	domain	trim	0.964481	413	394	2630	405	3.96	0.590	t-SNARE domain-containing protein 1
K13815	449.33	domain	all	0.975619	335	295	657	351	1.58	0.590	two-component system, response regulator RpfG
K13816	199.00	domain	all	1.000000	486	398	586	293	2.05	0.590	DSF synthase
K13818	252.17	domain	trim	0.876859	111	88	679	363	2.92	0.590	molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]
K13819	206.93	full	trim	0.930186	754	568	648	294	3.58	0.590	NifU-like protein
K13820	644.33	full	all	1.000000	76	65	637	610	0.96	0.588	flagellar biosynthesis protein FliR/FlhB
K13821	621.00	domain	all	0.994578	3922	3513	5937	1180	4.03	0.590	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
K13822	246.23	domain	trim	0.677449	1392	1128	879	359	4.38	0.590	hemoglobin subunit alpha
K13823	289.20	domain	trim	0.520235	874	692	618	263	2.92	0.590	hemoglobin subunit beta
K13824	306.73	full	all	0.886596	49	30	147	147	0.62	0.588	hemoglobin subunit gamma
K13825	162.03	full	all	0.429141	993	870	845	252	3.69	0.590	hemoglobin subunit epsilon
K13826	274.40	domain	all	0.608789	527	461	901	268	4.12	0.590	hemoglobin subunit zeta
K13827	247.33	domain	all	0.893962	143	120	399	172	1.32	0.589	hemoglobin subunit theta
K13828	199.83	domain	all	0.955491	113	83	395	189	1.69	0.590	hemoglobin subunit mu
K13829	533.13	full	trim	0.789246	393	342	1896	761	3.65	0.590	shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
K13830	952.27	full	all	1.000000	174	172	2522	1573	1.14	0.590	pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]
K13831	309.07	full	all	0.939258	160	151	757	428	2.51	0.590	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
K13832	358.50	full	all	0.968314	758	643	2299	885	4.17	0.590	3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]
K13833	232.17	full	all	1.000000	14	14	262	242	0.84	0.589	sporozoite microneme protein
K13834	325.60	full	all	1.000000	27	27	1909	807	2.48	0.590	sporozoite microneme protein 2
K13835	124.33	full	all	1.000000	19	19	346	195	1.23	0.591	cell-traversal protein for ookinetes and sporozoites
K13836	225.23	domain	all	0.933333	6	6	445	425	0.74	0.589	circumsporozoite protein
K13837	337.50	domain	all	1.000000	17	17	1293	643	1.42	0.589	thrombospondin-related anonymous protein
K13838	1512.33	full	all	1.000000	13	13	2373	1687	0.99	0.590	merozoite surface protein 1
K13839	283.27	full	all	1.000000	5	5	335	264	0.76	0.592	merozoite surface protein 2
K13840	603.60	full	all	1.000000	4	4	387	374	0.52	0.591	merozoite surface protein 3
K13841	170.30	full	all	1.000000	10	9	314	230	1.00	0.589	merozoite surface protein 4
K13842	297.07	full	all	1.000000	9	7	465	359	0.84	0.591	merozoite surface protein 5
K13843	543.40	full	all	1.000000	4	4	433	380	0.60	0.593	merozoite surface protein 6
K13844	448.93	full	all	1.000000	13	13	662	493	0.80	0.590	merozoite surface protein 8
K13845	422.93	full	all	1.000000	20	20	927	594	1.13	0.589	apical merozoite antigen 1
K13846	670.17	full	all	1.000000	3	3	1083	830	0.67	0.590	Duffy binding protein
K13847	2375.83	full	all	1.000000	4	4	1716	1581	0.52	0.590	erythrocyte-binding antigen 175
K13848	2151.57	full	all	0.888889	5	5	1578	1288	0.66	0.588	erythrocyte-binding antigen 140
K13849	868.57	full	all	1.000000	30	30	4128	2754	3.33	0.590	reticulocyte-binding protein
K13850	253.23	full	all	1.000000	161	160	13703	2074	1.94	0.591	erythrocyte membrane protein 1
K13851	141.17	full	all	0.993769	162	162	768	370	2.59	0.591	repetitive interspersed family protein
K13852	238.73	full	all	1.000000	52	52	372	299	1.08	0.591	subtelomeric variable open reading frame
K13853	462.80	full	all	0.993691	691	479	436	359	0.82	0.591	3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]
K13854	1008.00	full	all	1.000000	8	3	473	473	0.40	0.592	MFS transporter, SP family, glucose uniporter
K13855	1839.33	full	all	0.719921	688	677	6231	1298	1.73	0.590	solute carrier family 4 (anion exchanger), member 2
K13856	1793.90	full	all	0.863120	468	458	4519	1237	1.72	0.590	solute carrier family 4 (anion exchanger), member 3
K13857	1936.00	full	all	0.961231	494	490	4215	1282	0.78	0.589	solute carrier family 4 (sodium bicarbonate cotransporter), member 5
K13858	2037.10	full	all	0.925384	501	494	4049	1218	0.96	0.589	solute carrier family 4 (sodium bicarbonate cotransporter), member 7
K13859	1999.53	domain	all	0.844723	470	446	3053	1315	1.26	0.591	solute carrier family 4 (sodium bicarbonate cotransporter), member 8
K13860	1561.37	domain	all	0.971553	147	146	1676	955	0.62	0.589	solute carrier family 4 (sodium bicarbonate cotransporter), member 9
K13861	2082.20	domain	all	0.806845	662	635	5093	1412	1.41	0.590	solute carrier family 4 (sodium bicarbonate transporter), member 10
K13862	689.17	full	all	0.986604	614	603	4859	925	2.22	0.591	solute carrier family 4 (sodium borate transporter), member 11
K13863	939.40	domain	all	0.912069	973	929	4042	881	2.53	0.590	solute carrier family 7 (cationic amino acid transporter), member 1
K13864	996.13	domain	all	0.805008	934	911	3672	772	2.21	0.590	solute carrier family 7 (cationic amino acid transporter), member 2
K13865	1018.30	full	all	0.587053	1372	1340	4689	1175	4.84	0.590	solute carrier family 7 (cationic amino acid transporter), member 3
K13866	778.27	full	all	0.891285	795	760	3204	725	3.09	0.590	solute carrier family 7 (cationic amino acid transporter), member 4
K13867	954.30	domain	all	0.748888	472	449	1472	629	1.83	0.590	solute carrier family 7 (L-type amino acid transporter), member 7
K13868	673.57	full	all	0.885713	1420	1366	4109	764	4.17	0.590	solute carrier family 7 (L-type amino acid transporter), member 9/15
K13869	680.23	domain	all	0.919089	744	709	2237	547	1.66	0.591	solute carrier family 7 (L-type amino acid transporter), member 11
K13870	577.43	domain	all	0.943573	346	337	1391	563	1.88	0.590	solute carrier family 7 (L-type amino acid transporter), member 12/13
K13871	786.87	full	all	0.960229	731	698	3908	882	3.31	0.590	solute carrier family 7 (cationic amino acid transporter), member 14
K13872	971.53	domain	all	0.731004	662	635	2130	778	2.76	0.591	solute carrier family 7 (L-type amino acid transporter), member 6
K13873	458.93	full	all	0.892496	92	77	496	309	1.28	0.591	L-arabinose 1-dehydrogenase [EC:1.1.1.376]
K13874	323.57	domain	trim	0.920192	559	467	673	307	3.48	0.590	L-arabinonolactonase [EC:3.1.1.15]
K13875	991.77	full	all	0.963696	725	662	697	576	0.77	0.590	L-arabonate dehydrase [EC:4.2.1.25]
K13876	285.10	full	trim	0.895489	472	447	514	306	3.07	0.590	2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
K13877	610.77	full	trim	0.968833	2175	1976	1007	526	1.80	0.590	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]
K13878	823.30	full	trim	0.934423	398	378	2038	670	1.56	0.590	bestrophin-1
K13879	805.77	full	all	0.936067	337	322	1777	606	1.42	0.590	bestrophin-2
K13880	792.77	full	trim	0.955476	368	359	1312	660	1.05	0.590	bestrophin-3
K13881	774.10	full	trim	0.949156	346	318	1341	550	1.22	0.588	bestrophin-4
K13882	832.90	domain	trim	0.955659	317	270	1069	479	0.79	0.589	coronin-1A
K13883	272.63	full	trim	0.961978	378	372	1481	507	2.26	0.590	Rab-interacting lysosomal protein
K13884	224.90	domain	all	0.945739	406	401	2669	492	3.41	0.590	macrophage receptor with collagenous structure
K13885	526.17	full	all	0.720651	920	903	4083	615	5.89	0.590	scavenger receptor class B, member 1
K13886	925.00	full	all	0.694818	1720	1567	6766	738	4.13	0.590	coronin-1B/1C/6
K13887	675.83	full	all	0.955930	1071	972	3441	595	1.80	0.590	coronin-2
K13888	377.53	full	all	0.972273	2009	1588	2123	471	5.81	0.590	membrane fusion protein, macrolide-specific efflux system
K13889	430.60	domain	all	0.919046	1715	1429	1746	662	8.03	0.590	glutathione transport system substrate-binding protein
K13890	365.87	full	trim	0.825860	1611	1213	820	329	2.61	0.590	glutathione transport system permease protein
K13891	381.17	domain	trim	0.771250	1599	1225	1216	360	3.00	0.590	glutathione transport system permease protein
K13892	921.20	full	trim	0.868160	1317	1103	1707	703	1.37	0.589	glutathione transport system ATP-binding protein
K13893	749.53	full	all	0.890483	2923	2522	2446	854	4.98	0.590	microcin C transport system substrate-binding protein
K13894	371.60	full	all	0.995906	2408	1839	955	384	1.18	0.589	microcin C transport system permease protein
K13895	348.07	full	all	0.998682	2386	1898	1159	402	1.55	0.590	microcin C transport system permease protein
K13896	819.57	full	all	0.764861	2227	1900	1650	599	1.63	0.590	microcin C transport system ATP-binding protein
K13897	270.93	domain	all	0.700000	9	9	198	142	0.84	0.588	cystatin-SN
K13898	468.00	full	all	0.490476	9	9	306	303	0.73	0.593	cystatin-SA
K13899	137.30	domain	all	0.581293	882	823	1326	278	8.00	0.590	cystatin-C
K13900	290.37	full	trim	0.543040	12	11	189	141	0.51	0.592	cystatin-S
K13901	244.13	domain	all	0.948718	24	21	288	256	0.90	0.590	cystatin-D
K13902	152.23	domain	all	0.834444	239	216	618	305	4.74	0.590	cystatin-M
K13903	130.60	domain	all	0.982746	404	382	855	208	3.34	0.590	cystatin-F
K13904	186.17	full	all	0.971191	135	125	461	195	1.48	0.589	cystatin-8
K13905	131.30	full	all	1.000000	223	195	852	365	3.44	0.590	cystatin-9
K13906	152.63	full	all	1.000000	129	117	246	138	0.82	0.589	cystatin-11
K13907	34.13	domain	all	0.994502	1410	1268	1375	216	11.38	0.590	cystatin-A/B
K13908	3313.73	domain	all	0.788343	247	247	48562	4467	1.49	0.589	mucin-5
K13909	122.90	full	all	1.000000	58	56	927	358	1.84	0.591	mucin-7
K13910	144.60	domain	all	0.898246	34	31	315	162	1.11	0.589	salivary acidic proline-rich phosphoprotein 1/2
K13911	221.50	full	all	0.470448	30	30	1205	347	1.14	0.590	basic salivary proline-rich protein 1/2
K13912	1534.43	full	all	0.664529	771	771	82630	1530	2.86	0.590	deleted in malignant brain tumors 1 protein
K13913	86.13	full	all	1.000000	33	23	98	57	1.25	0.979	histatin
K13914	74.10	full	all	1.000000	9	8	110	62	1.02	0.900	statherin
K13915	204.97	full	all	0.604373	1614	1445	2436	312	7.64	0.590	lysozyme C [EC:3.2.1.17]
