K00844	HKhexokinase[EC2.7.1.1]
K09220	IKZFZNFN1AIKAROSfamilyzincfingerprotein
K11446	KDM5JARID1[histoneH3]-trimethyl-L-lysine4demethylase[EC1.14.11.67]
K04879	KCNA6KV1.6potassiumvoltage-gatedchannelShaker-relatedsubfamilyAmember6
K17582	MKI67antigenKI-67
K17493	CAMSAPcalmodulin-regulatedspectrin-associatedprotein
K17583	NOM1nucleolarMIF4Gdomain-containingprotein1
K04256	OPN3c-opsin
K17584	PCIF1phosphorylatedCTD-interactingfactor1
K17594	PHACTRphosphataseandactinregulator
K17586	PHRF1PHDandRINGfingerdomain-containingprotein1
K17587	TMEM225transmembraneprotein225
K17588	PREX2phosphatidylinositol345-trisphosphate-dependentRacexchanger2protein
K16498	PCDHD1protocadherindelta1
K13219	SFPQPSFsplicingfactorproline-andglutamine-rich
K13192	RBM26RNA-bindingprotein26
K17590	CDCA2celldivisioncycle-associatedprotein2
K17591	RIMBP2RIMS-bindingprotein2
K16550	RPGRIP1Lproteinfantom
K14849	RRP1ribosomalRNA-processingprotein1
K17592	SACSsacsin
K17593	ANKRD42SARPankyrinrepeatdomain-containingprotein42
K13871	SLC7A14solutecarrierfamily7(cationicaminoacidtransporter)member14
K17596	SPOCD1SPOCdomain-containingprotein1
K04703	SPREDsprouty-relatedEVH1domain-containingprotein
K17482	SPZ1spermatogenicleucinezipperprotein1
K17597	STAUdouble-strandedRNA-bindingproteinStaufen
K17598	SYTLsynaptotagmin-likeprotein
K17599	TMEM132transmembraneprotein132
K11796	TRPC4APTrpc4-associatedprotein
K16492	TSKStestis-specificserinekinasesubstrate
K17492	UBNubinuclein
K17600	VPS54vacuolarproteinsorting-associatedprotein54
K17601	WDR81WDrepeat-containingprotein81
K17602	YLPM1YLPmotif-containingprotein1
K10510	ZBTB38zincfingerandBTBdomain-containingprotein38
K17604	ZSWIM3zincfingerSWIMdomain-containingprotein3
K17609	NXNnucleoredoxin[EC1.8.1.8]
K18203	LCMT1[phosphatase2Aprotein]-leucine-carboxymethyltransferase[EC2.1.1.233]
K21814	CPPED1serine/threonine-proteinphosphataseCPPED1[EC3.1.3.16]
K17610	CHPCHP1calcineurinBhomologousprotein1
K17611	CHP2calcineurinBhomologousprotein2
K17612	TESCCHP3calcineurinBhomologousprotein3
K17613	CABIN1calcineurin-bindingproteincabin-1
K16522	AKAP5A-kinaseanchorprotein5
K15424	PPP4R1serine/threonine-proteinphosphatase4regulatorysubunit1
K15425	PPP4R2serine/threonine-proteinphosphatase4regulatorysubunit2
K15426	PPP4R4serine/threonine-proteinphosphatase4regulatorysubunit4
K15498	PPP6Cserine/threonine-proteinphosphatase6catalyticsubunit[EC3.1.3.16]
K15427	SIT4PPH1serine/threonine-proteinphosphatasePP1-1[EC3.1.3.16]
K17615	PPG1serine/threonine-proteinphosphatasePPG1[EC3.1.3.16]
K15499	PPP6R1SAPS1serine/threonine-proteinphosphatase6regulatorysubunit1
K15500	PPP6R2SAPS2serine/threonine-proteinphosphatase6regulatorysubunit2
K15501	PPP6R3SAPS3serine/threonine-proteinphosphatase6regulatorysubunit3
K15503	ANKRD44serine/threonine-proteinphosphatase6regulatoryankyrinrepeatsubunitB
K15504	ANKRD52serine/threonine-proteinphosphatase6regulatoryankyrinrepeatsubunitC
K17499	PPM1GPP2CGproteinphosphatase1G[EC3.1.3.16]
K17500	ILKAPintegrin-linkedkinase-associatedserine/threoninephosphatase2C[EC3.1.3.16]
K17501	PPM1EPOPX1proteinphosphatase1E[EC3.1.3.16]
K17502	PPM1FPOPX2proteinphosphatase1F[EC3.1.3.16]
K17503	PPM1HARHCL1proteinphosphatase1H[EC3.1.3.16]
K17504	PPM1JPP2CZproteinphosphatase1J[EC3.1.3.16]
K17505	PPM1KPP2CMproteinphosphatase1K[EC3.1.3.16]
K17506	PPM1LPP2CEproteinphosphatase1L[EC3.1.3.16]
K17507	PPM1MPP2CEproteinphosphatase1M[EC3.1.3.16]
K19790	PPM1Nproteinphosphatase1N[EC3.1.3.16]
K14803	PTC23proteinphosphatasePTC2/3[EC3.1.3.16]
K19705	PTC4proteinphosphatasePTC4[EC3.1.3.16]
K17508	PTC7PPTC7proteinphosphatasePTC7[EC3.1.3.16]
K20074	prpCphpPPPMfamilyproteinphosphatase[EC3.1.3.16]
K01102	PDPpyruvatedehydrogenasephosphatase[EC3.1.3.43]
K17509	PDPRpyruvatedehydrogenasephosphataseregulatorysubunit
K18032	PTPRAreceptor-typetyrosine-proteinphosphataseA[EC3.1.3.48]
K18033	PTPREreceptor-typetyrosine-proteinphosphataseepsilon[EC3.1.3.48]
K16667	PTPRGreceptor-typetyrosine-proteinphosphatasegamma[EC3.1.3.48]
K18034	PTPRHSAP1receptor-typetyrosine-proteinphosphataseH[EC3.1.3.48]
K06776	PTPRKreceptor-typetyrosine-proteinphosphatasekappa[EC3.1.3.48]
K18035	PTPROreceptor-typetyrosine-proteinphosphataseO[EC3.1.3.48]
K16910	PTPRQreceptor-typetyrosine-proteinphosphataseQ[EC3.1.3.48]
K13297	PTPRTreceptor-typetyrosine-proteinphosphataseT[EC3.1.3.48]
K16662	PTPRUreceptor-typetyrosine-proteinphosphataseU[EC3.1.3.48]
K18036	PTPRVESPreceptor-typetyrosine-proteinphosphataseV[EC3.1.3.48]
K18027	PTPN3PTPH1tyrosine-proteinphosphatasenon-receptortype3[EC3.1.3.48]
K18037	PTPN4MEGtyrosine-proteinphosphatasenon-receptortype4[EC3.1.3.48]
K18038	PTPN9MEG2tyrosine-proteinphosphatasenon-receptortype9[EC3.1.3.48]
K18024	PTPN121822tyrosine-proteinphosphatasenon-receptortype12/18/22[EC3.1.3.48]
K18025	PTPN1421tyrosine-proteinphosphatasenon-receptortype14/21[EC3.1.3.48]
K18039	PTPN20tyrosine-proteinphosphatasenon-receptortype20[EC3.1.3.48]
K18040	PTPN23tyrosine-proteinphosphatasenon-receptortype23[EC3.1.3.48]
K18041	PTP4AproteintyrosinephosphatasetypeIVA[EC3.1.3.48]
K14819	DUSP12YVH1dualspecificityphosphatase12[EC3.1.3.163.1.3.48]
K14165	K14165atypicaldualspecificityphosphatase[EC3.1.3.163.1.3.48]
K18042	STYXserine/threonine/tyrosine-interactingprotein
K18043	OCA1tyrosine-proteinphosphataseOCA1[EC3.1.3.48]
K18044	OCA2tyrosine-proteinphosphatase-likeproteinOCA2
K18045	SIW14OCA3tyrosine-proteinphosphataseSIW14[EC3.1.3.48]
K18046	OCA6tyrosine-proteinphosphataseOCA6[EC3.1.3.48]
K14167	CDKN3KAPcyclin-dependentkinaseinhibitor3[EC3.1.3.163.1.3.48]
K18078	PTPDC1proteintyrosinephosphatasedomain-containingprotein1[EC3.1.3.-]
K18079	TPTETPIPPTENhomologousphosphatase
K18080	TNStensin
K18061	SBF12MTMR513myotubularin-relatedprotein5/13
K18084	MTMR9myotubularin-relatedprotein9
K18085	MTMR101112myotubularin-relatedprotein10/11/12
K18993	UBASH3STSubiquitin-associatedandSH3domain-containingprotein[EC3.1.3.48]
K18065	CDC25Cdc25familyphosphatase[EC3.1.3.481.20.4.1]
K15732	CTDP1FCP1RNApolymeraseIIsubunitAC-terminaldomainphosphatase[EC3.1.3.16]
K15731	CTDSPcarboxy-terminaldomainRNApolymeraseIIpolypeptideAsmallphosphatase[EC3.1.3.16]
K17616	CTDSPL2CTDsmallphosphatase-likeprotein2[EC3.1.3.-]
K17617	CTDNEP1DULLARDNEM1CTDnuclearenvelopephosphatase1[EC3.1.3.16]
K18998	CPL12RNApolymeraseIIC-terminaldomainphosphatase-like1/2[EC3.1.3.16]
K18999	CPL34RNApolymeraseIIC-terminaldomainphosphatase-like3/4[EC3.1.3.16]
K17618	UBLCP1ubiquitin-likedomain-containingCTDphosphatase1[EC3.1.3.16]
K20827	RPAP2RNApolymeraseII-associatedprotein2[EC3.1.3.16]
K17619	MDP1magnesium-dependentphosphatase1[EC3.1.3.483.1.3.-]
K17620	EYA2eyesabsenthomolog2[EC3.1.3.48]
K17621	EYA3eyesabsenthomolog3[EC3.1.3.48]
K17622	EYA4eyesabsenthomolog4[EC3.1.3.48]
K17623	PUDPHDHD1pseudouridine5'-phosphatase[EC3.1.3.96]
K01377	PGCgastricsin[EC3.4.23.3]
K01378	CYMchymosin[EC3.4.23.4]
K01386	E3.4.23.23mucorpepsin[EC3.4.23.23]
K06004	E3.4.23.18aspergillopepsinI[EC3.4.23.18]
K20737	EAPAendothiapepsin[EC3.4.23.22]
K08245	E3.4.23.40phytepsin[EC3.4.23.40]
K06007	PFAPGplasmepsinI[EC3.4.23.38]
K06008	PFAPDplasmepsinII[EC3.4.23.39]
K22683	APF2aspartylproteasefamilyprotein[EC3.4.23.-]
K01385	E3.4.23.42thermopsin[EC3.4.23.42]
K09595	HM13minorhistocompatibilityantigenH13[EC3.4.23.-]
K09596	SPPL2Asignalpeptidepeptidase-like2A[EC3.4.23.-]
K09597	SPPL2Bsignalpeptidepeptidase-like2B[EC3.4.23.-]
K14212	SPPL2CIMP5signalpeptidepeptidase-like2C[EC3.4.23.-]
K09598	SPPL3signalpeptidepeptidase-like3[EC3.4.23.-]
K02654	pilDpppAleaderpeptidase(prepilinpeptidase)/N-methyltransferase[EC3.4.23.432.1.1.-]
K10966	tcpJtoxincoregulatedpilusbiosynthesisproteinJ[EC3.4.23.432.1.1.-]
K02506	hofDhopDleaderpeptidaseHopD[EC3.4.23.43]
K02278	cpaAtadVprepilinpeptidaseCpaA[EC3.4.23.43]
K07991	flaKarchaealpreflagellinpeptidaseFlaK[EC3.4.23.52]
K06012	gprsporeprotease[EC3.4.24.78]
K01355	ompTomptin[EC3.4.23.49]
K08566	plaplasminogenactivator[EC3.4.23.48]
K24552	ASPRV1retroviral-likeasparticprotease1[EC3.4.23.-]
K03605	hyaDhybDhydrogenasematurationprotease[EC3.4.23.-]
K08315	hycIhydrogenase3maturationprotease[EC3.4.23.51]
K06383	spoIIGAstageIIsporulationproteinGA(sporulationsigma-Efactorprocessingpeptidase)[EC3.4.23.-]
K06000	E3.4.22.2papain[EC3.4.22.2]
K20738	E3.4.22.6chymopapain[EC3.4.22.6]
K20739	E3.4.22.30caricain[EC3.4.22.30]
K20740	E3.4.22.25glycylendopeptidase[EC3.4.22.25]
K16292	CEPCYSEPKDEL-tailedcysteineendopeptidase[EC3.4.22.-]
K24378	CTSQcathepsinQ[EC3.4.22.-]
K09601	CTSRcathepsinR[EC3.4.22.-]
K24379	CTS8cathepsin8[EC3.4.22.-]
K25899	GCP1RDL1germination-specificcysteineprotease1[EC3.4.22.-]
K25900	RD21cysteineproteinaseRD21[EC3.4.22.-]
K16290	XCPxylemcysteineproteinase[EC3.4.22.-]
K13538	CPAcysteinepeptidaseA[EC3.4.22.-]
K08572	CPCcysteinepeptidaseC[EC3.4.22.-]
K20741	VCATHBaculoviridaeV-cathendopeptidase[EC3.4.22.50]
K24271	Testintestin-2
K01372	BLMHpepCbleomycinhydrolase[EC3.4.22.40]
K08573	CAPN3calpain-3[EC3.4.22.54]
K08574	CAPN5calpain-5[EC3.4.22.-]
K08575	CAPN6calpain-6[EC3.4.22.-]
K08576	CAPN7calpain-7[EC3.4.22.-]
K08577	CAPN8calpain-8[EC3.4.22.-]
K08578	CAPN9calpain-9[EC3.4.22.-]
K08579	CAPN10calpain-10[EC3.4.22.-]
K08580	CAPN11calpain-11[EC3.4.22.-]
K04740	CAPN12calpain-12[EC3.4.22.-]
K08581	CAPN13calpain-13[EC3.4.22.-]
K13442	CAPN14calpain-14[EC3.4.22.-]
K08582	CAPN15calpain-15[EC3.4.22.-]
K08584	CAPNS2calpainsmallsubunit2
K08585	CAPNNcalpaininvertebrate[EC3.4.22.-]
K25378	DEK1calpain-typecysteineproteaseDEK1[EC3.4.22.-]
K08586	tprthiolprotease[EC3.4.22.-]
K25922	3CHepatitisAvirusprotease3C[EC3.4.22.28]
K26801	NIa-proPotyvirusnuclear-inclusion-aendopeptidase[EC3.4.22.44]
K25923	nsP2AlphavirusproteasensP2[EC3.4.22.-]
K08587	cloSIclostripain[EC3.4.22.8]
K05609	UCHL3YUH1ubiquitincarboxyl-terminalhydrolaseL3[EC3.4.19.12]
K04401	CASP14caspase14[EC3.4.22.-]
K13521	CASP15caspase15
K22684	MCA1metacaspase-1[EC3.4.22.-]
K01304	pcppyroglutamyl-peptidase[EC3.4.19.3]
K25924	nsP3Alphacoronaviruspapain-likeproteinase1/2[EC3.4.19.123.4.22.-]
K11836	USP513UBP14ubiquitincarboxyl-terminalhydrolase5/13[EC3.4.19.12]
K11870	UBP1ubiquitincarboxyl-terminalhydrolase1[EC3.4.19.12]
K11837	USP632ubiquitincarboxyl-terminalhydrolase6/32[EC3.4.19.12]
K11835	USP411UBP12ubiquitincarboxyl-terminalhydrolase4/11[EC3.4.19.12]
K11833	USP2ubiquitincarboxyl-terminalhydrolase2[EC3.4.19.12]
K11843	USP14UBP6ubiquitincarboxyl-terminalhydrolase14[EC3.4.19.12]
K11840	USP924ubiquitincarboxyl-terminalhydrolase9/24[EC3.4.19.12]
K11842	USP1246ubiquitincarboxyl-terminalhydrolase12/46[EC3.4.19.12]
K11845	USP17DUB3ubiquitincarboxyl-terminalhydrolase17[EC3.4.19.12]
K11847	USP19ubiquitincarboxyl-terminalhydrolase19[EC3.4.19.12]
K11848	USP2033ubiquitincarboxyl-terminalhydrolase20/33[EC3.4.19.12]
K11986	USP3ubiquitincarboxyl-terminalhydrolase3[EC3.4.19.12]
K11846	USP1841ubiquitincarboxyl-terminalhydrolase18/41[EC3.4.19.12]
K11366	USP222751UBP8ubiquitincarboxyl-terminalhydrolase22/27/51[EC3.4.19.12]
K11850	USP262937ubiquitincarboxyl-terminalhydrolase26/29/37[EC3.4.19.12]
K11855	USP3642ubiquitincarboxyl-terminalhydrolase36/42[EC3.4.19.12]
K21122	USP28ubiquitincarboxyl-terminalhydrolase28[EC3.4.19.12]
K11857	USP47ubiquitincarboxyl-terminalhydrolase47[EC3.4.19.12]
K11854	USP3538ubiquitincarboxyl-terminalhydrolase35/38[EC3.4.19.12]
K11834	USP4449ubiquitincarboxyl-terminalhydrolase44/49[EC3.4.19.12]
K11853	USP34ubiquitincarboxyl-terminalhydrolase34[EC3.4.19.12]
K11858	USP48ubiquitincarboxyl-terminalhydrolase48[EC3.4.19.12]
K11869	USP40ubiquitincarboxyl-terminalhydrolase40[EC3.4.19.12]
K11852	USP31ubiquitincarboxyl-terminalhydrolase31[EC3.4.19.12]
K11873	UBP10ubiquitincarboxyl-terminalhydrolase10[EC3.4.19.12]
K11856	USP43ubiquitincarboxyl-terminalhydrolase43[EC3.4.19.12]
K11871	UBP711ubiquitincarboxyl-terminalhydrolase7/11[EC3.4.19.12]
K11872	UBP913ubiquitincarboxyl-terminalhydrolase9/13[EC3.4.19.12]
K11874	UBP16ubiquitincarboxyl-terminalhydrolase16[EC3.4.19.12]
K19237	kgpgingipainK[EC3.4.22.47]
K23150	E3.5.1.129N5-(cytidine5'-diphosphoramidyl)-L-glutaminehydrolase[EC3.5.1.129]
K07010	K07010putativeglutamineamidotransferase
K25925	p150Rubellavirusprotease/methyltransferasep150[EC3.4.22.-]
K25926	nsp5Alphacoronavirus3C-likeproteinase[EC3.4.22.-]
K19223	lytFcwlEpeptidoglycanDL-endopeptidaseLytF[EC3.4.-.-]
K19224	lytEcwlFpeptidoglycanDL-endopeptidaseLytE[EC3.4.-.-]
K13694	mepSsprmureinDD-endopeptidase/mureinLD-carboxypeptidase[EC3.4.-.-3.4.17.13]
K19220	cwlSpeptidoglycanDL-endopeptidaseCwlS[EC3.4.-.-]
K21471	cwlOpeptidoglycanDL-endopeptidaseCwlO[EC3.4.-.-]
K20742	ykfCgamma-D-glutamyl-L-lysinedipeptidyl-peptidase[EC3.4.14.13]
K21473	ripApeptidoglycanDL-endopeptidaseRipA[EC3.4.-.-]
K21474	ripBpeptidoglycanDL-endopeptidaseRipB[EC3.4.-.-]
K19303	mepHmureinDD-endopeptidase[EC3.4.-.-]
K13695	nlpCprobablelipoproteinNlpC
K08258	sspB2sspPscpAstaphopainA[EC3.4.22.48]
K13715	sspBstaphopainB[EC3.4.22.-]
K08592	SENP1sentrin-specificprotease1[EC3.4.22.68]
K08593	SENP3sentrin-specificprotease3[EC3.4.22.68]
K08594	SENP5sentrin-specificprotease5[EC3.4.22.68]
K08595	SENP6sentrin-specificprotease6[EC3.4.22.68]
K08596	SENP7sentrin-specificprotease7[EC3.4.22.68]
K08597	SENP8NEDP1DEN1sentrin-specificprotease8[EC3.4.22.68]
K26818	pfpIarchaealarginylaminopeptidase[EC3.4.11.27]
K05520	yhbOdeglycase[EC3.5.1.124]
K03152	thiJproteindeglycase[EC3.5.1.124]
K25927	I7LPoxviridaecoreproteaseI7[EC3.4.22.-]
K26083	ibpApfhB2proteinadenylyltransferase/cysteineprotease[EC2.7.7.1083.4.22.-]
K07284	srtAsortaseA[EC3.4.22.70]
K08600	srtBsortaseB[EC3.4.22.71]
K24447	artAarchaeosortaseA[EC3.4.22.-]
K26423	S273RAsfiviruscysteineproteaseS273R[EC3.4.22.-]
K11860	OTUD7ABOTUdomain-containingprotein7[EC3.4.19.12]
K11862	ZRANB1TRABIDubiquitinthioesteraseZRANB1[EC3.4.19.12]
K11861	VCPIP1VCIP135deubiquitinatingproteinVCIP135[EC3.4.19.12]
K09602	OTUB1ubiquitinthioesteraseproteinOTUB1[EC3.4.19.12]
K09603	OTUB2ubiquitinthioesteraseproteinOTUB2[EC3.4.19.12]
K08659	pepDApepDBdipeptidase[EC3.4.-.-]
K14358	SCRNsecernin
K24154	UFSP1Ufm1-specificprotease1
K01376	UFSP2Ufm1-specificprotease2[EC3.4.22.-]
K16291	erfKLD-transpeptidaseErfK/SrfK
K19234	ynhGLD-transpeptidaseYnhG
K19235	ybiSLD-transpeptidaseYbiS
K21470	ycbBLD-transpeptidaseYcbB
K25587	E3.4.17.25glutathione-S-conjugateglycinehydrolase[EC3.4.17.25]
K13716	OTUD1OTUdomain-containingprotein1[EC3.4.19.12]
K13717	OTUD3OTUdomain-containingprotein3[EC3.4.19.12]
K13718	OTUD4OTUdomain-containingprotein4[EC3.4.19.12]
K15235	JOSDjosephin[EC3.4.19.12]
K13720	NAAAN-(long-chain-acyl)ethanolaminedeacylase[EC3.5.1.60]
K22762	DESI1PPPDE2desumoylatingisopeptidase1[EC3.4.-.-]
K22763	DESI2PPPDE1deubiquitinaseDESI2[EC3.4.19.12]
K23008	USPL1SUMO-specificisopeptidaseUSPL1[EC3.4.22.-]
K24456	KYkyphoscoliosispeptidase[EC3.4.-.-]
K20743	SGPscytalidopepsinB[EC3.4.23.323.4.26.2]
K25185	TRABD2metalloproteaseTIKI[EC3.4.-.-]
K07052	K07052CAAXproteasefamilyprotein
K13721	APE2aminopeptidase2[EC3.4.11.-]
K01306	TRHDEpyroglutamyl-peptidaseII[EC3.4.19.6]
K08776	NPEPPSpuromycin-sensitiveaminopeptidase[EC3.4.11.14]
K01260	RNPEPaminopeptidaseB[EC3.4.11.6]
K09604	ARTS1adipocyte-derivedleucineaminopeptidase[EC3.4.11.-]
K13722	trf23tricornproteaseinteractingfactorF2/3[EC3.4.11.-]
K09605	RNPEPL1arginylaminopeptidase-like1[EC3.4.11.-]
K13723	ERAP2endoplasmicreticulumaminopeptidase2[EC3.4.11.-]
K13724	AQPEPaminopeptidaseQ[EC3.4.11.-]
K09606	C9ORF3aminopeptidaseO[EC3.4.11.-]
K13725	PFAM1M1-familyaminopeptidase[EC3.4.11.-]
K01405	PRD1saccharolysin[EC3.4.24.37]
K01414	prlColigopeptidaseA[EC3.4.24.70]
K01284	dcppeptidyl-dipeptidaseDcp[EC3.4.15.5]
K01410	MIPEPmitochondrialintermediatepeptidase[EC3.4.24.59]
K13726	MEPBmetallopeptidaseMepB[EC3.4.24.-]
K08602	pepFpepBoligoendopeptidaseF[EC3.4.24.-]
K08603	nprthermolysin[EC3.4.24.27]
K19351	mplzincmetalloproteinase[EC3.4.24.-]
K01400	nprEbacillolysin[EC3.4.24.28]
K20744	nprmycolysin[EC3.4.24.31]
K09607	inaimmuneinhibitorA[EC3.4.24.-]
K01416	snpAsnapalysin[EC3.4.24.77]
K13539	LMLNleishmanolysin-likepeptidase[EC3.4.24.-]
K01387	colAmicrobialcollagenase[EC3.4.24.3]
K01402	MMP8matrixmetalloproteinase-8(neutrophilcollagenase)[EC3.4.24.34]
K01396	MMP10matrixmetalloproteinase-10(stromelysin2)[EC3.4.24.22]
K07993	MMP11matrixmetalloproteinase-11(stromelysin3)[EC3.4.24.-]
K01413	MMP12matrixmetalloproteinase-12(macrophageelastase)[EC3.4.24.65]
K07998	MMP19MMP18matrixmetalloproteinase-19(RASI)[EC3.4.24.-]
K07999	MMP20matrixmetalloproteinase-20(enamelysin)[EC3.4.24.-]
K08000	MMP21matrixmetalloproteinase-21[EC3.4.24.-]
K08001	MMP23matrixmetalloproteinase-23(CA-MMP)[EC3.4.24.-]
K08004	MMP26matrixmetalloproteinase-26(matrilysin-2endometase)[EC3.4.24.-]
K08005	MMP27matrixmetalloproteinase-27[EC3.4.24.-]
K08006	MMP28matrixmetalloproteinase-28(epilysin)[EC3.4.24.-]
K07761	5MMPmetalloendoproteinase5-MMP[EC3.4.24.-]
K19957	HEenvelysin[EC3.4.24.12]
K19959	bftPfragilysin[EC3.4.24.74]
K08076	E3.4.24.21astacin[EC3.4.24.21]
K08778	ASTLastacin-likemetalloendopeptidase[EC3.4.-.-]
K18542	LCEchoriolysinL[EC3.4.24.66]
K18543	HCEchoriolysinH[EC3.4.24.67]
K05502	BMP1TLDbonemorphogeneticprotein1[EC3.4.24.19]
K13045	tldtolloid[EC3.4.24.-]
K13046	toktolkin[EC3.4.24.-]
K09608	TLL1tolloid-likeprotein1[EC3.4.24.-]
K13047	TLL2tolloid-likeprotein2[EC3.4.24.-]
K20138	P40flavastacin[EC3.4.24.76]
K20139	JGjararhagin[EC3.4.24.73]
K20745	E3.4.24.49bothropasin[EC3.4.24.49]
K20746	E3.4.24.42atrolysinC[EC3.4.24.42]
K20747	E3.4.24.43atroxase[EC3.4.24.43]
K21897	E3.4.24.52trimerelysinI[EC3.4.24.52]
K20748	E3.4.24.58russellysin[EC3.4.24.58]
K08607	ADAM1disintegrinandmetalloproteinasedomain-containingprotein1[EC3.4.24.-]
K06833	ADAM2disintegrinandmetalloproteinasedomain-containingprotein2[EC3.4.24.-]
K16071	ADAM7disintegrinandmetalloproteinasedomain-containingprotein7[EC3.4.24.-]
K06540	ADAM8CD156adisintegrinandmetalloproteinasedomain-containingprotein8[EC3.4.24.-]
K16067	ADAM11disintegrinandmetalloproteinasedomain-containingprotein11[EC3.4.24.-]
K06835	ADAM12disintegrinandmetalloproteinasedomain-containingprotein12[EC3.4.24.-]
K06836	ADAM15disintegrinandmetalloproteinasedomain-containingprotein15[EC3.4.24.-]
K16909	ADAM18disintegrinandmetalloproteinasedomain-containingprotein18[EC3.4.24.-]
K08608	ADAM19disintegrinandmetalloproteinasedomain-containingprotein19[EC3.4.24.-]
K08609	ADAM20disintegrinandmetalloproteinasedomain-containingprotein20[EC3.4.24.-]
K08610	ADAM21disintegrinandmetalloproteinasedomain-containingprotein21[EC3.4.24.-]
K16068	ADAM22disintegrinandmetalloproteinasedomain-containingprotein22[EC3.4.24.-]
K06837	ADAM23disintegrinandmetalloproteinasedomain-containingprotein23[EC3.4.24.-]
K08611	ADAM24disintegrinandmetalloproteinasedomain-containingprotein24[EC3.4.24.-]
K08612	ADAM25disintegrinandmetalloproteinasedomain-containingprotein25[EC3.4.24.-]
K08613	ADAM26disintegrinandmetalloproteinasedomain-containingprotein26[EC3.4.24.-]
K08614	ADAM28disintegrinandmetalloproteinasedomain-containingprotein28[EC3.4.24.-]
K16069	ADAM29disintegrinandmetalloproteinasedomain-containingprotein29[EC3.4.24.-]
K08615	ADAM30disintegrinandmetalloproteinasedomain-containingprotein30[EC3.4.24.-]
K16070	ADAM32disintegrinandmetalloproteinasedomain-containingprotein32[EC3.4.24.-]
K08616	ADAM33disintegrinandmetalloproteinasedomain-containingprotein33[EC3.4.24.-]
K08617	ADAMTS1adisintegrinandmetalloproteinasewiththrombospondinmotifs1[EC3.4.24.-]
K08618	ADAMTS2adisintegrinandmetalloproteinasewiththrombospondinmotifs2[EC3.4.24.14]
K08619	ADAMTS3adisintegrinandmetalloproteinasewiththrombospondinmotifs3[EC3.4.24.-]
K07764	ADAMTS4adisintegrinandmetalloproteinasewiththrombospondinmotifs4[EC3.4.24.82]
K08620	ADAMTS5adisintegrinandmetalloproteinasewiththrombospondinmotifs5[EC3.4.24.-]
K08621	ADAMTS6adisintegrinandmetalloproteinasewiththrombospondinmotifs6[EC3.4.24.-]
K08622	ADAMTS7adisintegrinandmetalloproteinasewiththrombospondinmotifs7[EC3.4.24.-]
K08623	ADAMTS8adisintegrinandmetalloproteinasewiththrombospondinmotifs8[EC3.4.24.-]
K08624	ADAMTS9adisintegrinandmetalloproteinasewiththrombospondinmotifs9[EC3.4.24.-]
K08625	ADAMTS10adisintegrinandmetalloproteinasewiththrombospondinmotifs10[EC3.4.24.-]
K08626	ADAMTS12adisintegrinandmetalloproteinasewiththrombospondinmotifs12[EC3.4.24.-]
K08627	ADAMTS13adisintegrinandmetalloproteinasewiththrombospondinmotifs13[EC3.4.24.87]
K08628	ADAMTS14adisintegrinandmetalloproteinasewiththrombospondinmotifs14[EC3.4.24.-]
K08629	ADAMTS15adisintegrinandmetalloproteinasewiththrombospondinmotifs15[EC3.4.24.-]
K08630	ADAMTS16adisintegrinandmetalloproteinasewiththrombospondinmotifs16[EC3.4.24.-]
K08631	ADAMTS17adisintegrinandmetalloproteinasewiththrombospondinmotifs17[EC3.4.24.-]
K08632	ADAMTS18adisintegrinandmetalloproteinasewiththrombospondinmotifs18[EC3.4.24.-]
K08633	ADAMTS19adisintegrinandmetalloproteinasewiththrombospondinmotifs19[EC3.4.24.-]
K09609	ADAMTS20adisintegrinandmetalloproteinasewiththrombospondinmotifs20[EC3.4.24.-]
K08634	ADAMDEC1ADAM-likedecysin1[EC3.4.24.-]
K08635	MMEL1NEPneprilysin[EC3.4.24.11]
K01415	ECEendothelin-convertingenzyme[EC3.4.24.71]
K07386	pepOputativeendopeptidase[EC3.4.24.-]
K09610	ECEL1endothelin-convertingenzyme-like1[EC3.4.24.-]
K06577	KELCD238Kellbloodgroupglycoprotein[EC3.4.24.-]
K08636	PHEXphosphate-regulatingneutralendopeptidase[EC3.4.24.-]
K08781	CPA5carboxypeptidaseA5[EC3.4.17.1]
K08782	CPA6carboxypeptidaseA6[EC3.4.17.1]
K08637	CPA4carboxypeptidaseA4[EC3.4.17.-]
K01290	CPANcarboxypeptidaseAinvertebrate[EC3.4.17.-]
K08783	ECM14extracellularmatrixprotein14[EC3.4.17.-]
K07752	CPDcarboxypeptidaseD[EC3.4.17.22]
K01296	CPMcarboxypeptidaseM[EC3.4.17.12]
K01292	CPN1carboxypeptidaseNcatalyticsubunit[EC3.4.17.3]
K13023	CPN2carboxypeptidaseNregulatorysubunit
K23009	CPOcarboxypeptidaseO[EC3.4.17.-]
K05996	cptcarboxypeptidaseT[EC3.4.17.18]
K08638	CPXM1carboxypeptidaseX1[EC3.4.17.-]
K08639	CPXM2carboxypeptidaseX2
K13022	CPZcarboxypeptidaseZ[EC3.4.17.-]
K23435	AGTPBP1CCP1cytosoliccarboxypeptidaseprotein1[EC3.4.17.24]
K23436	AGBL1CCP4cytosoliccarboxypeptidaseprotein4[EC3.4.17.24]
K23437	AGBL23CCP23cytosoliccarboxypeptidaseprotein2/3[EC3.4.17.-]
K23438	AGBL5CCP5cytosoliccarboxypeptidaseprotein5[EC3.4.17.24]
